Arquivo,Status,N_Eventos,Tem_Faces,Tem_Basal,Tipos_Encontrados
TEA_G_26.edf,FALHA,0,False,False,invalid literal for int() with base 10: ''
TEA_G_28.edf,FALHA,0,False,False,invalid literal for int() with base 10: ''
TEA_G_30.edf,FALHA,0,False,False,invalid literal for int() with base 10: ''
TEA_G_40.edf,FALHA,0,False,False,invalid literal for int() with base 10: ''
TEA_L_16.edf,FALHA,0,False,False,invalid literal for int() with base 10: ''
TEA_L_17.edf,FALHA,0,False,False,invalid literal for int() with base 10: ''
TEA_L_24.edf,FALHA,0,False,False,invalid literal for int() with base 10: ''
TEA_L_25.edf,FALHA,0,False,False,invalid literal for int() with base 10: ''
TEA_L_27.edf,FALHA,0,False,False,invalid literal for int() with base 10: ''
TEA_L_29.edf,FALHA,0,False,False,invalid literal for int() with base 10: ''
TEA_L_32.edf,FALHA,0,False,False,invalid literal for int() with base 10: ''
TEA_L_46.edf,FALHA,0,False,False,invalid literal for int() with base 10: ''
TEA_M_15.edf,FALHA,0,False,False,invalid literal for int() with base 10: ''
TEA_M_18.edf,FALHA,0,False,False,invalid literal for int() with base 10: ''
TEA_M_19.edf,FALHA,0,False,False,invalid literal for int() with base 10: ''
TEA_M_20.edf,FALHA,0,False,False,invalid literal for int() with base 10: ''
TEA_M_21.edf,FALHA,0,False,False,invalid literal for int() with base 10: ''
TEA_M_22.edf,FALHA,0,False,False,invalid literal for int() with base 10: ''
TEA_M_22_1.edf,FALHA,0,False,False,invalid literal for int() with base 10: ''
control_12.edf,FALHA,0,False,False,invalid literal for int() with base 10: ''
control_13.edf,FALHA,0,False,False,invalid literal for int() with base 10: ''
control_14-sem marcacoes.edf,FALHA,0,False,False,invalid literal for int() with base 10: ''
control_35.edf,FALHA,0,False,False,invalid literal for int() with base 10: ''
control_36.edf,FALHA,0,False,False,invalid literal for int() with base 10: ''
control_37.edf,FALHA,0,False,False,invalid literal for int() with base 10: ''
control_38.edf,FALHA,0,False,False,invalid literal for int() with base 10: ''
control_39.edf,FALHA,0,False,False,invalid literal for int() with base 10: ''
control_41.edf,FALHA,0,False,False,invalid literal for int() with base 10: ''
control_42.edf,FALHA,0,False,False,invalid literal for int() with base 10: ''
control_43.edf,FALHA,0,False,False,invalid literal for int() with base 10: ''
control_44.edf,FALHA,0,False,False,invalid literal for int() with base 10: ''
control_47.edf,FALHA,0,False,False,invalid literal for int() with base 10: ''
control_48.edf,FALHA,0,False,False,invalid literal for int() with base 10: ''
control_49.edf,FALHA,0,False,False,invalid literal for int() with base 10: ''
control_50.edf,FALHA,0,False,False,invalid literal for int() with base 10: ''
control_51.edf,FALHA,0,False,False,invalid literal for int() with base 10: ''
control_54.edf,FALHA,0,False,False,invalid literal for int() with base 10: ''
control_55.edf,FALHA,0,False,False,invalid literal for int() with base 10: ''
control_56.edf,FALHA,0,False,False,invalid literal for int() with base 10: ''
control_57.edf,FALHA,0,False,False,invalid literal for int() with base 10: ''
control_58.edf,FALHA,0,False,False,invalid literal for int() with base 10: ''
control_59.edf,FALHA,0,False,False,invalid literal for int() with base 10: ''
control_60.edf,FALHA,0,False,False,invalid literal for int() with base 10: ''
control_61.edf,FALHA,0,False,False,invalid literal for int() with base 10: ''
